,generation_unit_name,generation_unit_code,generation_facility_name,generation_facility_code,owner,province,location,latitude,longitude,elevation,copper_balancing_area,operating_region,connecting_node_name,connecting_node_code,connecting_voltage,start_year,previous_renewal_year,possible_renewal_year,closure_year,gen_type,gen_type_copper,unit_installed_capacity,facility_installed_capacity,capacity_adjustment,unit_effective_capacity,facility_effective_capacity,capacity_factor,unit_average_annual_energy,facility_average_annual_energy,generation_units_represented,total_facility_generation_units,notes
252,Boulder Creek,BC_BDH00_GEN,Boulder Creek,BC_BDH_GEN,Boulder Creek Power Limited Partnership,BC,Pemberton,50.635524,-123.405928,564,British Columbia.a,British Columbia,Boulder Creek GS,BC_BDH_GSS,230,2017,2017,2056,,hydro_run,hydro_run,25.30,25.30,0.1500,3.80,3.80,0.4165,92.30,92.30,1,1,NULL
253,Brandywine Creek,BC_BDW00_GEN,Brandywine Creek,BC_BDW_GEN,Rockford Energy Corp.,BC,Whistler,49.978254,-123.141733,393,British Columbia.a,British Columbia,Function Junction,BC_FCN_DSS,230,2005,2005,2025,,hydro_run,hydro_run,7.60,7.60,0.1500,1.14,1.14,0.5122,34.10,34.10,1,1,NULL
254,Lower Bear,BC_BHL00_GEN,Lower Bear,BC_BHL_GEN,Bear Hydro Limited Partnership,BC,Sechelt,49.748008,-123.515924,47,British Columbia.a,British Columbia,Lower Bear GS,BC_BHL_GSS,138,2011,2011,2051,,hydro_run,hydro_run,10.00,10.00,0.1500,1.50,1.50,0.5274,46.20,46.20,1,1,NULL
255,Upper Bear,BC_BHU00_GEN,Upper Bear,BC_BHU_GEN,Bear Hydro Limited Partnership,BC,Sechelt,49.795389,-123.572093,494,British Columbia.a,British Columbia,Upper Bear GS,BC_BHU_GSS,138,2012,2012,2052,,hydro_run,hydro_run,10.00,10.00,0.1500,1.50,1.50,0.8368,73.30,73.30,1,1,NULL
256,Bear Mountain,BC_BMW00_GEN,Bear Mountain,BC_BMW_GEN,Bear Mountain Wind Limited Partnership,BC,Dawson Creek,55.704126,-120.426360,933,British Columbia.a,British Columbia,Bear Mountain GS,BC_BMW_GSS,138,2009,2009,2034,,wind_ons,wind_ons,102.00,102.00,0.2400,24.48,24.48,0.2205,197.00,197.00,34,34,NULL
257,Bone Creek,BC_BNC00_GEN,Bone Creek,BC_BNC_GEN,Western Sustainable Power Inc.,BC,Kamloops,52.255330,-119.180830,779,British Columbia.a,British Columbia,Bone Creek GS,BC_BNC_GSS,138,2011,2011,2031,,hydro_run,hydro_run,20.00,20.00,0.1500,3.00,3.00,0.4623,81.00,81.00,1,1,NULL
258,Bonnington Falls,BC_BNF00_GEN,Bonnington Falls,BC_BNF_GEN,Nelson Hydro,BC,Kootenay River,49.458202,-117.485410,582,British Columbia.a,British Columbia,Nelson,BC_NLS_DSS,63,1908,1995,2035,,hydro_run,hydro_run,16.20,16.20,0.1500,2.43,2.43,0.5413,76.81,76.81,1,1,NULL
259,Box Canyon,BC_BOX00_GEN,Box Canyon,BC_BOX_GEN,Box Canyon Hydro Corporation,BC,Port Mellon,49.600618,-123.426733,686,British Columbia.a,British Columbia,Box Canyon GS,BC_BOX_GSS,138,2016,2016,2056,,hydro_run,hydro_run,14.70,14.70,0.1500,2.20,2.20,0.3681,47.40,47.40,1,1,NULL
260,Bridge1_01,BC_BR101_GEN,Bridge1,BC_BR1_GEN,BC Hydro,BC,Lillooet,50.729850,-122.240038,303,British Columbia.a,British Columbia,Bridge River 1 GS,BC_BR1_GSS,230,1934,1934,2028,,hydro_daily,hydro_daily,52.00,208.00,0.7000,36.40,145.60,0.3280,149.40,597.60,1,4,NULL
261,Bridge1_02,BC_BR102_GEN,Bridge1,BC_BR1_GEN,BC Hydro,BC,Lillooet,50.729850,-122.240038,303,British Columbia.a,British Columbia,Bridge River 1 GS,BC_BR1_GSS,230,1934,1934,2028,,hydro_daily,hydro_daily,52.00,208.00,0.7000,36.40,145.60,0.3280,149.40,597.60,1,4,NULL
262,Bridge1_03,BC_BR103_GEN,Bridge1,BC_BR1_GEN,BC Hydro,BC,Lillooet,50.729850,-122.240038,303,British Columbia.a,British Columbia,Bridge River 1 GS,BC_BR1_GSS,230,1934,1934,2028,,hydro_daily,hydro_daily,52.00,208.00,0.7000,36.40,145.60,0.3280,149.40,597.60,1,4,NULL
263,Bridge1_04,BC_BR104_GEN,Bridge1,BC_BR1_GEN,BC Hydro,BC,Lillooet,50.729850,-122.240038,303,British Columbia.a,British Columbia,Bridge River 1 GS,BC_BR1_GSS,230,1934,1934,2028,,hydro_daily,hydro_daily,52.00,208.00,0.7000,36.40,145.60,0.3280,149.40,597.60,1,4,NULL
264,Bridge2_01,BC_BR201_GEN,Bridge2,BC_BR2_GEN,BC Hydro,BC,Lillooet,50.729850,-122.240038,303,British Columbia.a,British Columbia,Bridge River 2 GS,BC_BR2_GSS,360,1934,1934,2028,,hydro_daily,hydro_daily,75.00,300.00,0.7000,52.50,210.00,0.3025,198.72,794.86,1,4,NULL
265,Bridge2_02,BC_BR202_GEN,Bridge2,BC_BR2_GEN,BC Hydro,BC,Lillooet,50.729850,-122.240038,303,British Columbia.a,British Columbia,Bridge River 2 GS,BC_BR2_GSS,360,1934,1934,2028,,hydro_daily,hydro_daily,75.00,300.00,0.7000,52.50,210.00,0.3025,198.72,794.86,1,4,NULL
266,Bridge2_03,BC_BR203_GEN,Bridge2,BC_BR2_GEN,BC Hydro,BC,Lillooet,50.729850,-122.240038,303,British Columbia.a,British Columbia,Bridge River 2 GS,BC_BR2_GSS,360,1934,1934,2028,,hydro_daily,hydro_daily,75.00,300.00,0.7000,52.50,210.00,0.3025,198.72,794.86,1,4,NULL
267,Bridge2_04,BC_BR204_GEN,Bridge2,BC_BR2_GEN,BC Hydro,BC,Lillooet,50.729850,-122.240038,303,British Columbia.a,British Columbia,Bridge River 2 GS,BC_BR2_GSS,360,1934,1934,2028,,hydro_daily,hydro_daily,75.00,300.00,0.7000,52.50,210.00,0.3025,198.72,794.86,1,4,NULL
268,Barr Creek,BC_BRC00_GEN,Barr Creek,BC_BRC_GEN,Barr Creek Limited Partnership,BC,Tahsis,49.927814,-126.760236,264,British Columbia.a,British Columbia,Tahsis Village,BC_TSV_DSS,138,2012,2012,2052,,hydro_run,hydro_run,4.00,4.00,0.1500,0.60,0.60,0.4566,16.00,16.00,1,1,NULL
269,Brilliant_01,BC_BRD01_GEN,Brilliant,BC_BRD_GEN,Columbia Power,BC,Castlegar,49.324880,-117.620653,514,British Columbia.a,British Columbia,Brilliant GS,BC_BRD_GSS,230,1944,1996,2066,,hydro_daily,hydro_daily,37.50,150.00,0.7000,26.25,105.00,0.3312,108.79,435.14,1,4,NULL
270,Brilliant_02,BC_BRD02_GEN,Brilliant,BC_BRD_GEN,Columbia Power,BC,Castlegar,49.324880,-117.620653,514,British Columbia.a,British Columbia,Brilliant GS,BC_BRD_GSS,230,1944,1996,2066,,hydro_daily,hydro_daily,37.50,150.00,0.7000,26.25,105.00,0.3312,108.79,435.14,1,4,NULL
271,Brilliant_03,BC_BRD03_GEN,Brilliant,BC_BRD_GEN,Columbia Power,BC,Castlegar,49.324880,-117.620653,514,British Columbia.a,British Columbia,Brilliant GS,BC_BRD_GSS,230,1944,1996,2066,,hydro_daily,hydro_daily,37.50,150.00,0.7000,26.25,105.00,0.3312,108.79,435.14,1,4,NULL
272,Brilliant_04,BC_BRD04_GEN,Brilliant,BC_BRD_GEN,Columbia Power,BC,Castlegar,49.324880,-117.620653,514,British Columbia.a,British Columbia,Brilliant GS,BC_BRD_GSS,230,1944,1996,2066,,hydro_daily,hydro_daily,37.50,150.00,0.7000,26.25,105.00,0.3312,108.79,435.14,1,4,NULL
273,Bremner Creek,BC_BRE00_GEN,Bremner Creek,BC_BRE_GEN,Bremner Trio Hydro Corporation,BC,Mission,49.669291,-122.015649,50,British Columbia.a,British Columbia,Bremner GS,BC_BRE_GSS,138,2021,2021,2061,,hydro_run,hydro_run,27.50,27.50,0.1500,4.13,4.13,0.3624,87.30,87.30,1,1,NULL
274,Brown Lake,BC_BRL00_GEN,Brown Lake,BC_BRL_GEN,Brown Miller Power LP,BC,Prince Rupert,54.027253,-129.843668,72,British Columbia.a,British Columbia,Brown Lake GS,BC_BRL_GSS,69,1996,2018,2058,,hydro_daily,hydro_daily,7.20,7.20,0.7000,5.04,5.04,0.9037,57.00,57.00,1,1,NULL
275,Brilliant Expansion,BC_BRX00_GEN,Brilliant Expansion,BC_BRX_GEN,Columbia Power,BC,Castlegar,49.323118,-117.619793,514,British Columbia.a,British Columbia,Brilliant Expansion GS,BC_BRX_GSS,230,2007,2007,2026,,hydro_daily,hydro_daily,120.00,120.00,0.7000,84.00,84.00,0.4078,428.67,428.67,1,1,NULL
276,Big Silver,BC_BSV00_GEN,Big Silver,BC_BSV_GEN,Big Silver Creek Power Limited Partnership,BC,Harrison Hot Springs,49.693045,-121.859106,201,British Columbia.a,British Columbia,Big Silver GS,BC_BSV_GSS,138,2016,2016,2056,,hydro_run,hydro_run,40.60,40.60,0.1500,6.09,6.09,0.4460,158.62,158.62,1,1,NULL
277,Cariboo Pulp and Paper_01,BC_CBP01_GEN,Cariboo Pulp and Paper,BC_CBP_GEN,Cariboo Pulp and Paper Company,BC,Quesnel,52.997039,-122.485266,575,British Columbia.a,British Columbia,Cariboo Pulp GS,BC_CBP_GSS,69,2012,2012,2042,,biomass,biomass,30.65,61.30,0.9600,29.42,58.85,0.3208,86.14,172.28,1,2,NULL
278,Cariboo Pulp and Paper_02,BC_CBP02_GEN,Cariboo Pulp and Paper,BC_CBP_GEN,Cariboo Pulp and Paper Company,BC,Quesnel,52.997039,-122.485266,575,British Columbia.a,British Columbia,Cariboo Pulp GS,BC_CBP_GSS,69,2012,2012,2042,,biomass,biomass,30.65,61.30,0.9600,29.42,58.85,0.3208,86.14,172.28,1,2,NULL
279,China Creek,BC_CCK00_GEN,China Creek,BC_CCK_GEN,Upnit Power Limited Partnership,BC,Port Alberni,49.185606,-124.739465,146,British Columbia.a,British Columbia,Port Alberni,BC_PAL_DSS,138,2005,2005,2025,,hydro_run,hydro_run,6.30,6.30,0.1500,0.95,0.95,0.4481,24.73,24.73,1,1,NULL
280,Cedar Road,BC_CDR00_GEN,Cedar Road,BC_CDR_GEN,Cedar Road LFG Inc.,BC,Nanaimo,49.118386,-123.896422,12,British Columbia.a,British Columbia,Jinglepot,BC_JPT_DSS,138,2009,2009,2029,,biogas,biomass,1.26,1.26,0.9600,1.21,1.21,0.9549,10.54,10.54,1,1,NULL
281,Catalyst Paper Crofton,BC_CFT00_GEN,Catalyst Paper Crofton,BC_CFT_GEN,Catalyst Paper,BC,Crofton,48.875707,-123.650029,8,British Columbia.a,British Columbia,Catalyst Paper Crofton GS,BC_CFT_GSS,138,1990,1990,2010,2010.0,biomass,biomass,38.00,38.00,0.9600,36.48,36.48,0.2119,70.54,70.54,1,1,Does not currently supply the grid
282,Conifex Green Energy,BC_CGE00_GEN,Conifex Green Energy,BC_CGE_GEN,Conifex Power Inc.,BC,Mackenzie,55.337000,-123.182284,685,British Columbia.a,British Columbia,Parsnip,BC_PRS_DSS,138,2014,2014,2034,,biomass,biomass,36.00,36.00,0.9600,34.56,34.56,0.6976,220.00,220.00,1,1,NULL
283,Cache Creek,BC_CHK00_GEN,Cache Creek,BC_CHK_GEN,Wastech Services Ltd.,BC,Cache Creek,50.787312,-121.319672,585,British Columbia.a,British Columbia,Cache Creek,BC_CCW_DSS,69,2014,2014,2034,,biogas,biomass,4.80,4.80,0.9600,4.61,4.61,0.8464,35.59,35.59,1,1,NULL
284,Celgar,BC_CLG01_GEN,Celgar,BC_CLG_GEN,Zellstoff Celgar Limited Partnership,BC,Castlegar,49.336056,-117.727550,468,British Columbia.a,British Columbia,Kraft GS,BC_KRA_GSS,63,2010,2021,2031,,biomass,biomass,100.00,100.00,0.9600,96.00,96.00,0.1460,127.90,127.90,1,1,NULL
285,Cheakamus_01,BC_CMS01_GEN,Cheakamus,BC_CMS_GEN,BC Hydro,BC,Lower Mainland,49.933702,-123.290985,300,British Columbia.a,British Columbia,Cheakamus GS,BC_CMS_GSS,230,1988,1988,2058,,hydro_daily,hydro_daily,90.00,180.00,0.7000,63.00,126.00,0.3312,261.09,522.17,1,2,NULL
286,Cheakamus_02,BC_CMS02_GEN,Cheakamus,BC_CMS_GEN,BC Hydro,BC,Lower Mainland,49.933702,-123.290985,300,British Columbia.a,British Columbia,Cheakamus GS,BC_CMS_GSS,230,1988,1988,2058,,hydro_daily,hydro_daily,90.00,180.00,0.7000,63.00,126.00,0.3312,261.09,522.17,1,2,NULL
287,Canoe Creek,BC_CNK00_GEN,Canoe Creek,BC_CNK_GEN,Canoe Creek Hydro Company,BC,Ucluelet,49.176919,-125.395572,82,British Columbia.a,British Columbia,Canoe Creek GS,BC_CNK_GSS,69,2010,2010,2050,,hydro_run,hydro_run,5.50,5.50,0.1500,0.83,0.83,0.3362,16.20,16.20,1,1,NULL
288,Clowhom,BC_COM00_GEN,Clowhom,BC_COM_GEN,BC Hydro,BC,Lower Mainland,49.710933,-123.532108,25,British Columbia.a,British Columbia,Clowhom GS,BC_COM_GSS,138,1958,1958,2028,,hydro_daily,hydro_daily,45.00,45.00,0.7000,31.50,31.50,0.3312,130.54,130.54,1,1,NULL
289,Corra Linn_01,BC_COR01_GEN,Corra Linn,BC_COR_GEN,FortisBC,BC,Kootenay Lake,49.468877,-117.468630,598,British Columbia.a,British Columbia,Corra Linn GS,BC_COR_GSS,63,1932,2005,2035,,hydro_daily,hydro_daily,17.00,51.00,0.7000,11.90,35.70,0.3312,49.32,147.95,1,3,NULL
290,Corra Linn_02,BC_COR02_GEN,Corra Linn,BC_COR_GEN,FortisBC,BC,Kootenay Lake,49.468877,-117.468630,598,British Columbia.a,British Columbia,Corra Linn GS,BC_COR_GSS,63,1932,2005,2035,,hydro_daily,hydro_daily,17.00,51.00,0.7000,11.90,35.70,0.3312,49.32,147.95,1,3,NULL
291,Corra Linn_03,BC_COR03_GEN,Corra Linn,BC_COR_GEN,FortisBC,BC,Kootenay Lake,49.468877,-117.468630,598,British Columbia.a,British Columbia,Corra Linn GS,BC_COR_GSS,63,1932,2005,2035,,hydro_daily,hydro_daily,17.00,51.00,0.7000,11.90,35.70,0.3312,49.32,147.95,1,3,NULL
292,Cranberry Creek Power,BC_CRC00_GEN,Cranberry Creek Power,BC_CRC_GEN,Advanced Energy Systems II LP,BC,Revelstoke,50.771577,-118.104136,880,British Columbia.a,British Columbia,Pingston GS,BC_PIN_GSS,69,2008,2008,2038,,hydro_run,hydro_run,3.00,3.00,0.1500,0.45,0.45,0.3425,9.00,9.00,1,1,NULL
293,Skookumchuck,BC_CRS00_GEN,Skookumchuck,BC_CRS_GEN,Skookumchuck Pulp Inc.,BC,Skookumchuck,49.528364,-115.757776,905,British Columbia.a,British Columbia,Crestbrook Skookumchuck,BC_CRS_DSS,69,2009,2019,2049,,biomass,biomass,51.00,51.00,0.9600,48.96,48.96,0.4083,182.40,182.40,1,1,NULL
294,Crowsnest Pass,BC_CRW00_GEN,Crowsnest Pass,BC_CRW_GEN,GIF Crowsnest Power LP,BC,Sparwood,49.647394,-114.715093,1352,British Columbia.a,British Columbia,Crowsnest Pass GS,BC_CRW_GSS,69,2012,2012,2032,,biomass,biomass,10.50,10.50,0.9600,10.08,10.08,0.7058,64.92,64.92,1,1,Energy recovery generator
295,Castle Creek,BC_CSC00_GEN,Castle Creek,BC_CSC_GEN,Castle Mountain Hydro Ltd.,BC,McBride,53.109167,-120.194167,878,British Columbia.a,British Columbia,Rearguard Pumping Station,BC_REG_DSS,138,2014,2014,2054,,hydro_run,hydro_run,6.00,6.00,0.1500,0.90,0.90,0.6469,34.00,34.00,1,1,Formerly called Benjamin Creek
296,UBC Nexterra,BC_CSN00_GEN,UBC Nexterra,BC_CSN_GEN,University of British Columbia,BC,Vancouver,49.260241,-123.254530,81,British Columbia.a,British Columbia,Camosun,BC_CSN_DSS,230,2012,2012,2042,,biomass,biomass,2.00,2.00,0.9600,1.92,1.92,0.2118,3.71,3.71,1,1,NULL
297,Cape Scott,BC_CSS00_GEN,Cape Scott,BC_CSS_GEN,Cape Scott Wind LP,BC,Port Hardy,50.789021,-128.003295,313,British Columbia.a,British Columbia,Cape Scott GS,BC_CSS_GSS,138,2013,2013,2033,,wind_ons,wind_ons,99.20,99.20,0.2400,23.81,23.81,0.3640,316.30,316.30,55,55,NULL
298,Culliton Creek,BC_CTN00_GEN,Culliton Creek,BC_CTN_GEN,Culliton Creek Power Limited Partnership,BC,Squamish,49.877182,-123.159893,274,British Columbia.a,British Columbia,Culliton Creek GS,BC_CTN_GSS,69,2014,2014,2044,,hydro_run,hydro_run,15.00,15.00,0.1500,2.25,2.25,0.5625,73.91,73.91,1,1,NULL
299,Chetwynd,BC_CWD00_GEN,Chetwynd,BC_CWD_GEN,West Fraser Mills Ltd.,BC,Chetwynd,55.723487,-121.565045,639,British Columbia.a,British Columbia,Chetwynd GS,BC_LAP_GSS,138,2014,2014,2034,,biomass,biomass,12.00,12.00,0.9600,11.52,11.52,0.9167,96.36,96.36,1,1,NULL
300,Cypress Creek,BC_CYK00_GEN,Cypress Creek,BC_CYK_GEN,Synex Energy Resources Ltd,BC,Gold River,49.842749,-126.127661,485,British Columbia.a,British Columbia,Gold River,BC_GLD_DSS,138,2009,2009,2039,,hydro_run,hydro_run,2.83,2.83,0.1500,0.42,0.42,0.4998,12.39,12.39,1,1,NULL
301,Douglas Kwalsa,BC_DGL00_GEN,Douglas Kwalsa,BC_DGL_GEN,Harrison Hydro Limited Partnership,BC,Mission,49.767563,-122.150954,152,British Columbia.a,British Columbia,Douglas GS,BC_DGL_GSS,138,2009,2009,2049,,hydro_run,hydro_run,28.76,28.76,0.1500,4.31,4.31,0.5673,142.93,142.93,1,1,NULL
302,Dokie,BC_DKW00_GEN,Dokie,BC_DKW_GEN,Dokie General Partnership,BC,Chetwynd,55.811775,-122.247353,1303,British Columbia.a,British Columbia,Dokie GS,BC_DKW_GSS,230,2011,2011,2036,,wind_ons,wind_ons,144.00,144.00,0.2400,34.56,34.56,0.2973,375.00,375.00,48,48,NULL
303,Dasque-Middle,BC_DSQ00_GEN,Dasque-Middle,BC_DSQ_GEN,BluEarth Renewables,BC,Terrace,54.383481,-128.914853,85,British Columbia.a,British Columbia,Dasque Creek GS,BC_DSQ_GSS,69,2014,2014,2053,,hydro_run,hydro_run,20.00,20.00,0.1500,3.00,3.00,0.4616,80.87,80.87,1,1,NULL
304,Doran Taylor,BC_DTR00_GEN,Doran Taylor,BC_DTR_GEN,Doran Taylor Hydro JV,BC,Port Alberni,49.296427,-125.275533,143,British Columbia.a,British Columbia,Doran Taylor GS,BC_DTR_GSS,69,1996,2017,2036,,hydro_run,hydro_run,6.00,6.00,0.1500,0.90,0.90,0.5137,27.00,27.00,1,1,NULL
305,Eldorado Reservoir,BC_EDR00_GEN,Eldorado Reservoir,BC_EDR_GEN,District of Lake Country,BC,Kelowna,50.019015,-119.358938,594,British Columbia.a,British Columbia,Duck Lake,BC_DUC_DSS,138,2008,2008,2078,,hydro_daily,hydro_daily,1.10,1.10,0.7000,0.77,0.77,0.4151,4.00,4.00,1,1,NULL
306,Elko_01,BC_ELK01_GEN,Elko,BC_ELK_GEN,BC Hydro,BC,Columbia,49.290067,-115.104613,921,British Columbia.a,British Columbia,Elko GS,BC_ELK_GSS,69,1924,1924,2025,,hydro_daily,hydro_daily,5.60,11.20,0.7000,3.92,7.84,0.6120,30.02,60.04,1,2,Facility is out of service until renewal date
307,Elko_02,BC_ELK02_GEN,Elko,BC_ELK_GEN,BC Hydro,BC,Columbia,49.290067,-115.104613,921,British Columbia.a,British Columbia,Elko GS,BC_ELK_GSS,69,1924,1924,2025,,hydro_daily,hydro_daily,5.60,11.20,0.7000,3.92,7.84,0.6120,30.02,60.04,1,2,Facility is out of service until renewal date
308,East Toba,BC_ETR00_GEN,East Toba,BC_ETR_GEN,Toba Montrose General Partnership,BC,Powell River,50.675081,-123.960276,199,British Columbia.a,British Columbia,East Toba River GS,BC_ETR_GSS,230,2010,2010,2045,,hydro_run,hydro_run,147.30,147.30,0.1500,22.10,22.10,0.5673,732.07,732.07,2,2,NULL
309,East Twin,BC_ETW00_GEN,East Twin,BC_ETW_GEN,Valemount Hydro Limited Partnership,BC,McBride,53.458136,-120.383395,776,British Columbia.a,British Columbia,Rearguard Pumping Station,BC_REG_DSS,69,1991,2011,2051,,hydro_run,hydro_run,1.60,1.60,0.1500,0.24,0.24,0.4281,6.00,6.00,1,1,NULL
310,Fort St James Green Energy,BC_FGE00_GEN,Fort St James Green Energy,BC_FGE_GEN,Fort St. James Green Energy Limited Partnership,BC,Fort St. James,54.489317,-124.215275,813,British Columbia.a,British Columbia,Fort St James Green Energy GS,BC_FGE_GSS,69,2015,2015,2035,,biomass,biomass,40.00,40.00,0.9600,38.40,38.40,0.8662,303.53,303.53,1,1,NULL
311,Forrest Kerr Hydroelectric_01,BC_FKR01_GEN,Forrest Kerr Hydroelectric,BC_FKR_GEN,Coast Mountain Hydro Limited Partnership,BC,Stewart,56.717162,-130.686601,239,British Columbia.a,British Columbia,Forest Kerr GS,BC_FKR_GSS,287,2014,2014,2074,,hydro_run,hydro_run,21.70,195.30,0.1500,3.26,29.29,0.5466,103.90,935.10,1,9,NULL
312,Forrest Kerr Hydroelectric_02,BC_FKR02_GEN,Forrest Kerr Hydroelectric,BC_FKR_GEN,Coast Mountain Hydro Limited Partnership,BC,Stewart,56.717162,-130.686601,239,British Columbia.a,British Columbia,Forest Kerr GS,BC_FKR_GSS,287,2014,2014,2074,,hydro_run,hydro_run,21.70,195.30,0.1500,3.26,29.29,0.5466,103.90,935.10,1,9,NULL
313,Forrest Kerr Hydroelectric_03,BC_FKR03_GEN,Forrest Kerr Hydroelectric,BC_FKR_GEN,Coast Mountain Hydro Limited Partnership,BC,Stewart,56.717162,-130.686601,239,British Columbia.a,British Columbia,Forest Kerr GS,BC_FKR_GSS,287,2014,2014,2074,,hydro_run,hydro_run,21.70,195.30,0.1500,3.26,29.29,0.5466,103.90,935.10,1,9,NULL
314,Forrest Kerr Hydroelectric_04,BC_FKR04_GEN,Forrest Kerr Hydroelectric,BC_FKR_GEN,Coast Mountain Hydro Limited Partnership,BC,Stewart,56.717162,-130.686601,239,British Columbia.a,British Columbia,Forest Kerr GS,BC_FKR_GSS,287,2014,2014,2074,,hydro_run,hydro_run,21.70,195.30,0.1500,3.26,29.29,0.5466,103.90,935.10,1,9,NULL
315,Forrest Kerr Hydroelectric_05,BC_FKR05_GEN,Forrest Kerr Hydroelectric,BC_FKR_GEN,Coast Mountain Hydro Limited Partnership,BC,Stewart,56.717162,-130.686601,239,British Columbia.a,British Columbia,Forest Kerr GS,BC_FKR_GSS,287,2014,2014,2074,,hydro_run,hydro_run,21.70,195.30,0.1500,3.26,29.29,0.5466,103.90,935.10,1,9,NULL
316,Forrest Kerr Hydroelectric_06,BC_FKR06_GEN,Forrest Kerr Hydroelectric,BC_FKR_GEN,Coast Mountain Hydro Limited Partnership,BC,Stewart,56.717162,-130.686601,239,British Columbia.a,British Columbia,Forest Kerr GS,BC_FKR_GSS,287,2014,2014,2074,,hydro_run,hydro_run,21.70,195.30,0.1500,3.26,29.29,0.5466,103.90,935.10,1,9,NULL
317,Forrest Kerr Hydroelectric_07,BC_FKR07_GEN,Forrest Kerr Hydroelectric,BC_FKR_GEN,Coast Mountain Hydro Limited Partnership,BC,Stewart,56.717162,-130.686601,239,British Columbia.a,British Columbia,Forest Kerr GS,BC_FKR_GSS,287,2014,2014,2074,,hydro_run,hydro_run,21.70,195.30,0.1500,3.26,29.29,0.5466,103.90,935.10,1,9,NULL
