REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,1,BATTERY_STORAGE,57,ELCB02,2028,9.871097258051936
REGION1,1,BATTERY_STORAGE,57,ELCB02,2030,6.66344207975834
REGION1,1,BATTERY_STORAGE,57,ELCB02,2035,63.35100803532926
REGION1,1,BATTERY_STORAGE,57,ELCB02,2042,5.442506159950544
REGION1,1,BATTERY_STORAGE,57,ELCB02,2043,15.81406709446004
REGION1,1,BATTERY_STORAGE,57,ELCB02,2044,22.46645092501728
REGION1,1,BATTERY_STORAGE,57,ELCB02,2045,30.809135945278047
REGION1,1,BATTERY_STORAGE,57,ELCB02,2046,40.55388853835164
REGION1,1,BATTERY_STORAGE,57,ELCB02,2047,45.89013855217749
REGION1,1,BATTERY_STORAGE,57,ELCB02,2048,51.33807751978093
REGION1,1,BATTERY_STORAGE,57,ELCB02,2049,56.93493509242156
REGION1,1,BATTERY_STORAGE,57,ELCB02,2050,62.6558915025928
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2027,0.10992645648896972
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2028,0.12651569296872298
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2021,0.05929534017108472
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2022,1.3210922334431887
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2023,0.7317997096672105
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2024,1.159819313498682
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2025,0.7458271921463666
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2026,0.7354921042898115
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2027,0.7763220308211763
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2028,0.6757208886712003
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2029,0.7114120790458548
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2030,0.5851788596529721
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2031,0.5208836349574536
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2032,0.48673705555579766
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2033,0.49336400104458794
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2034,0.49930067121069965
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2035,0.5063256300568021
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2036,0.5155589301353448
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2037,0.523102624036098
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2038,0.528919654122293
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2039,0.5348302313123132
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2040,0.540069039998917
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2041,0.547175544543014
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2042,0.553139563811763
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2043,0.5612149684587016
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2044,0.5672160583044791
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2045,0.5738520078009262
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2046,0.5806598548081351
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2047,0.5867896792175895
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2048,0.5934256287140514
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2049,0.6002812559146321
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2050,0.6071975512169807
REGION1,1,DEMCOMBIO,1,COMBIO,2021,0.7600004560002654
REGION1,1,DEMCOMBIO,1,COMBIO,2022,1.200000720000432
REGION1,1,DEMCOMBIO,1,COMBIO,2023,1.6300009780005866
REGION1,1,DEMCOMBIO,1,COMBIO,2024,2.5986721755641136
REGION1,1,DEMCOMBIO,1,COMBIO,2025,3.6100021660013
REGION1,1,DEMCOMBIO,1,COMBIO,2026,4.810002886001732
REGION1,1,DEMCOMBIO,1,COMBIO,2027,6.3700038220022925
REGION1,1,DEMCOMBIO,1,COMBIO,2028,7.850004710002822
REGION1,1,DEMCOMBIO,1,COMBIO,2029,9.760005856003506
REGION1,1,DEMCOMBIO,1,COMBIO,2030,11.660006996004103
REGION1,1,DEMCOMBIO,1,COMBIO,2043,5.2247798222870045
REGION1,1,DEMCOMBIO,1,COMBIO,2045,12.012119516923017
REGION1,1,DEMCOMBIO,1,COMBIO,2046,11.667562422153448
REGION1,1,DEMCOMBIO,1,COMBIO,2047,11.230006738004043
REGION1,1,DEMCOMBIO,1,COMBIO,2048,11.30000678000407
REGION1,1,DEMCOMBIO,1,COMBIO,2049,11.360006816004091
REGION1,1,DEMCOMBIO,1,COMBIO,2050,11.450006870004124
REGION1,1,DEMCOMELCB02,1,COMELCB02,2021,65.8096135425999
REGION1,1,DEMCOMELCB02,1,COMELCB02,2022,70.79838681133933
REGION1,1,DEMCOMELCB02,1,COMELCB02,2023,73.7643490283262
REGION1,1,DEMCOMELCB02,1,COMELCB02,2024,75.92366880136265
REGION1,1,DEMCOMELCB02,1,COMELCB02,2025,78.00852927188062
REGION1,1,DEMCOMELCB02,1,COMELCB02,2026,80.26712811494177
REGION1,1,DEMCOMELCB02,1,COMELCB02,2027,82.61259614427446
REGION1,1,DEMCOMELCB02,1,COMELCB02,2028,84.4988984747431
REGION1,1,DEMCOMELCB02,1,COMELCB02,2029,86.09977347889085
REGION1,1,DEMCOMELCB02,1,COMELCB02,2030,87.6013694130139
REGION1,1,DEMCOMELCB02,1,COMELCB02,2031,89.2146543009147
REGION1,1,DEMCOMELCB02,1,COMELCB02,2032,90.9148083750871
REGION1,1,DEMCOMELCB02,1,COMELCB02,2033,92.44122407671632
REGION1,1,DEMCOMELCB02,1,COMELCB02,2034,94.0048694296048
REGION1,1,DEMCOMELCB02,1,COMELCB02,2035,95.58092466624637
REGION1,1,DEMCOMELCB02,1,COMELCB02,2036,97.2562589729126
REGION1,1,DEMCOMELCB02,1,COMELCB02,2037,98.90677351207265
REGION1,1,DEMCOMELCB02,1,COMELCB02,2038,100.47041886496112
REGION1,1,DEMCOMELCB02,1,COMELCB02,2039,101.99683456659037
REGION1,1,DEMCOMELCB02,1,COMELCB02,2040,103.33710201192332
REGION1,1,DEMCOMELCB02,1,COMELCB02,2041,104.66495957350322
REGION1,1,DEMCOMELCB02,1,COMELCB02,2042,105.93076771631767
REGION1,1,DEMCOMELCB02,1,COMELCB02,2043,107.18416597537907
REGION1,1,DEMCOMELCB02,1,COMELCB02,2044,108.38792469942815
REGION1,1,DEMCOMELCB02,1,COMELCB02,2045,109.66614272599573
REGION1,1,DEMCOMELCB02,1,COMELCB02,2046,111.06845959009412
REGION1,1,DEMCOMELCB02,1,COMELCB02,2047,112.55764564046407
REGION1,1,DEMCOMELCB02,1,COMELCB02,2048,114.20816017962416
REGION1,1,DEMCOMELCB02,1,COMELCB02,2049,115.90831425379656
REGION1,1,DEMCOMELCB02,1,COMELCB02,2050,117.75738693300596
REGION1,1,DEMCOMNGS,1,COMNGS,2021,74.10004446002665
REGION1,1,DEMCOMNGS,1,COMNGS,2022,78.15004689002816
REGION1,1,DEMCOMNGS,1,COMNGS,2023,79.59004775402866
REGION1,1,DEMCOMNGS,1,COMNGS,2024,77.680046608028
REGION1,1,DEMCOMNGS,1,COMNGS,2025,76.3400458040275
REGION1,1,DEMCOMNGS,1,COMNGS,2026,75.2800451680271
REGION1,1,DEMCOMNGS,1,COMNGS,2027,73.11004386602633
REGION1,1,DEMCOMNGS,1,COMNGS,2028,70.58004234802542
REGION1,1,DEMCOMNGS,1,COMNGS,2029,68.2500409500246
REGION1,1,DEMCOMNGS,1,COMNGS,2030,66.0100396060238
REGION1,1,DEMCOMNGS,1,COMNGS,2031,65.2300391380235
REGION1,1,DEMCOMNGS,1,COMNGS,2032,64.45003867002322
REGION1,1,DEMCOMNGS,1,COMNGS,2033,64.17003850202312
REGION1,1,DEMCOMNGS,1,COMNGS,2034,63.990038394023045
REGION1,1,DEMCOMNGS,1,COMNGS,2035,63.800038280022974
REGION1,1,DEMCOMNGS,1,COMNGS,2036,63.580038148022886
REGION1,1,DEMCOMNGS,1,COMNGS,2037,63.320037992022804
REGION1,1,DEMCOMNGS,1,COMNGS,2038,63.13003787802274
REGION1,1,DEMCOMNGS,1,COMNGS,2039,63.05003783002271
REGION1,1,DEMCOMNGS,1,COMNGS,2040,62.94003776402266
REGION1,1,DEMCOMNGS,1,COMNGS,2041,62.87003772202264
REGION1,1,DEMCOMNGS,1,COMNGS,2042,62.83003769802263
REGION1,1,DEMCOMNGS,1,COMNGS,2043,62.87003772202264
REGION1,1,DEMCOMNGS,1,COMNGS,2044,62.970037782022686
REGION1,1,DEMCOMNGS,1,COMNGS,2045,63.11003786602273
REGION1,1,DEMCOMNGS,1,COMNGS,2046,63.320037992022804
REGION1,1,DEMCOMNGS,1,COMNGS,2047,63.61003816602291
REGION1,1,DEMCOMNGS,1,COMNGS,2048,63.97003838202304
REGION1,1,DEMCOMNGS,1,COMNGS,2049,64.36003861602317
REGION1,1,DEMCOMNGS,1,COMNGS,2050,64.82003889202335
REGION1,1,DEMCOMRPP,1,COMRPP,2021,6.290003774002265
REGION1,1,DEMCOMRPP,1,COMRPP,2022,6.410003846002308
REGION1,1,DEMCOMRPP,1,COMRPP,2023,6.490003894002337
REGION1,1,DEMCOMRPP,1,COMRPP,2024,6.560003936002361
REGION1,1,DEMCOMRPP,1,COMRPP,2025,6.620003972002383
REGION1,1,DEMCOMRPP,1,COMRPP,2026,6.700004020002413
REGION1,1,DEMCOMRPP,1,COMRPP,2027,6.810004086002452
REGION1,1,DEMCOMRPP,1,COMRPP,2028,6.900004140002483
REGION1,1,DEMCOMRPP,1,COMRPP,2029,6.9700041820025085
REGION1,1,DEMCOMRPP,1,COMRPP,2030,7.050004230002537
REGION1,1,DEMCOMRPP,1,COMRPP,2031,7.150004290002574
REGION1,1,DEMCOMRPP,1,COMRPP,2032,7.270004362002616
REGION1,1,DEMCOMRPP,1,COMRPP,2033,7.370004422002653
REGION1,1,DEMCOMRPP,1,COMRPP,2034,7.47000448200269
REGION1,1,DEMCOMRPP,1,COMRPP,2035,7.580004548002728
REGION1,1,DEMCOMRPP,1,COMRPP,2036,7.690004614002768
REGION1,1,DEMCOMRPP,1,COMRPP,2037,7.8000046800028064
REGION1,1,DEMCOMRPP,1,COMRPP,2038,7.910004746002848
REGION1,1,DEMCOMRPP,1,COMRPP,2039,8.01000480600288
REGION1,1,DEMCOMRPP,1,COMRPP,2040,8.100004860002917
REGION1,1,DEMCOMRPP,1,COMRPP,2041,8.190004914002948
REGION1,1,DEMCOMRPP,1,COMRPP,2042,8.28000496800298
REGION1,1,DEMCOMRPP,1,COMRPP,2043,8.370005022003012
REGION1,1,DEMCOMRPP,1,COMRPP,2044,8.47000508200305
REGION1,1,DEMCOMRPP,1,COMRPP,2045,8.570005142003087
REGION1,1,DEMCOMRPP,1,COMRPP,2046,8.680005208003124
REGION1,1,DEMCOMRPP,1,COMRPP,2047,8.80000528000317
REGION1,1,DEMCOMRPP,1,COMRPP,2048,8.940005364003218
REGION1,1,DEMCOMRPP,1,COMRPP,2049,9.08000544800327
REGION1,1,DEMCOMRPP,1,COMRPP,2050,9.240005544003328
REGION1,1,DEMINDBIO,1,INDBIO,2021,185.8301114980669
REGION1,1,DEMINDBIO,1,INDBIO,2022,195.71011742607047
REGION1,1,DEMINDBIO,1,INDBIO,2023,197.73661433287265
REGION1,1,DEMINDBIO,1,INDBIO,2024,202.25484678001712
REGION1,1,DEMINDBIO,1,INDBIO,2025,207.58083204890283
REGION1,1,DEMINDBIO,1,INDBIO,2026,216.1353868506177
REGION1,1,DEMINDBIO,1,INDBIO,2027,228.1364256752696
REGION1,1,DEMINDBIO,1,INDBIO,2028,237.78065700716536
REGION1,1,DEMINDBIO,1,INDBIO,2029,242.32959365483433
REGION1,1,DEMINDBIO,1,INDBIO,2030,257.06911196283966
REGION1,1,DEMINDBIO,1,INDBIO,2031,244.8070048350476
REGION1,1,DEMINDBIO,1,INDBIO,2032,239.8555208150121
REGION1,1,DEMINDBIO,1,INDBIO,2033,234.57886719426756
REGION1,1,DEMINDBIO,1,INDBIO,2034,234.7502132021898
REGION1,1,DEMINDBIO,1,INDBIO,2035,236.9331687213106
REGION1,1,DEMINDBIO,1,INDBIO,2036,236.73281548794571
REGION1,1,DEMINDBIO,1,INDBIO,2037,232.85906128132612
REGION1,1,DEMINDBIO,1,INDBIO,2038,233.44415778654528
REGION1,1,DEMINDBIO,1,INDBIO,2039,234.73766823589943
REGION1,1,DEMINDBIO,1,INDBIO,2040,241.13956972229764
REGION1,1,DEMINDBIO,1,INDBIO,2041,255.27100068369225
REGION1,1,DEMINDBIO,1,INDBIO,2042,263.1183938668051
REGION1,1,DEMINDBIO,1,INDBIO,2043,270.6743742668136
REGION1,1,DEMINDBIO,1,INDBIO,2044,270.12107296013454
REGION1,1,DEMINDBIO,1,INDBIO,2045,267.39893572971346
REGION1,1,DEMINDBIO,1,INDBIO,2046,266.8516814967801
REGION1,1,DEMINDBIO,1,INDBIO,2047,267.81168207278046
REGION1,1,DEMINDBIO,1,INDBIO,2048,268.79168266078085
REGION1,1,DEMINDBIO,1,INDBIO,2049,269.9316833447813
REGION1,1,DEMINDBIO,1,INDBIO,2050,271.10168404678166
REGION1,1,DEMINDDSL,1,INDDSL,2021,96.39005783403469
REGION1,1,DEMINDDSL,1,INDDSL,2022,95.77005746203453
REGION1,1,DEMINDDSL,1,INDDSL,2023,98.45005907003545
REGION1,1,DEMINDDSL,1,INDDSL,2024,100.6000603600362
REGION1,1,DEMINDDSL,1,INDDSL,2025,102.67006160203698
REGION1,1,DEMINDDSL,1,INDDSL,2026,104.4200626520376
REGION1,1,DEMINDDSL,1,INDDSL,2027,104.04006242403744
REGION1,1,DEMINDDSL,1,INDDSL,2028,103.61006216603728
REGION1,1,DEMINDDSL,1,INDDSL,2029,105.7600634560381
REGION1,1,DEMINDDSL,1,INDDSL,2030,107.93006475803888
REGION1,1,DEMINDDSL,1,INDDSL,2031,108.74006524403916
REGION1,1,DEMINDDSL,1,INDDSL,2032,108.72006523203912
REGION1,1,DEMINDDSL,1,INDDSL,2033,109.55006573003944
REGION1,1,DEMINDDSL,1,INDDSL,2034,110.38006622803974
REGION1,1,DEMINDDSL,1,INDDSL,2035,110.98006658804
REGION1,1,DEMINDDSL,1,INDDSL,2036,111.44006686404012
REGION1,1,DEMINDDSL,1,INDDSL,2037,111.82006709204026
REGION1,1,DEMINDDSL,1,INDDSL,2038,112.1700673020404
REGION1,1,DEMINDDSL,1,INDDSL,2039,112.69006761404056
REGION1,1,DEMINDDSL,1,INDDSL,2040,113.45006807004086
REGION1,1,DEMINDDSL,1,INDDSL,2041,114.38006862804116
REGION1,1,DEMINDDSL,1,INDDSL,2042,115.39006923404158
REGION1,1,DEMINDDSL,1,INDDSL,2043,116.540069924042
REGION1,1,DEMINDDSL,1,INDDSL,2044,117.85007071004242
REGION1,1,DEMINDDSL,1,INDDSL,2045,119.370071622043
REGION1,1,DEMINDDSL,1,INDDSL,2046,120.9800725880436
REGION1,1,DEMINDDSL,1,INDDSL,2047,122.59007355404412
REGION1,1,DEMINDDSL,1,INDDSL,2048,124.23007453804478
REGION1,1,DEMINDDSL,1,INDDSL,2049,125.92007555204538
REGION1,1,DEMINDDSL,1,INDDSL,2050,127.60007656004596
REGION1,1,DEMINDELCB02,1,INDELCB02,2021,110.10048865735364
REGION1,1,DEMINDELCB02,1,INDELCB02,2022,116.19374158011745
REGION1,1,DEMINDELCB02,1,INDELCB02,2023,123.71413113448584
REGION1,1,DEMINDELCB02,1,INDELCB02,2024,127.67288405171936
REGION1,1,DEMINDELCB02,1,INDELCB02,2025,131.6192270851998
REGION1,1,DEMINDELCB02,1,INDELCB02,2026,135.77653814248265
REGION1,1,DEMINDELCB02,1,INDELCB02,2027,138.0103172180376
REGION1,1,DEMINDELCB02,1,INDELCB02,2028,143.04873002178937
REGION1,1,DEMINDELCB02,1,INDELCB02,2029,151.5619102764044
REGION1,1,DEMINDELCB02,1,INDELCB02,2030,158.06468936301997
REGION1,1,DEMINDELCB02,1,INDELCB02,2031,161.83729402395724
REGION1,1,DEMINDELCB02,1,INDELCB02,2032,170.89650916370795
REGION1,1,DEMINDELCB02,1,INDELCB02,2033,179.80680569842164
REGION1,1,DEMINDELCB02,1,INDELCB02,2034,182.15227372775436
REGION1,1,DEMINDELCB02,1,INDELCB02,2035,184.19990454701303
REGION1,1,DEMINDELCB02,1,INDELCB02,2036,186.0862068774817
REGION1,1,DEMINDELCB02,1,INDELCB02,2037,187.7987708354072
REGION1,1,DEMINDELCB02,1,INDELCB02,2038,189.44928537456727
REGION1,1,DEMINDELCB02,1,INDELCB02,2039,191.22389875125813
REGION1,1,DEMINDELCB02,1,INDELCB02,2040,192.97369236044287
REGION1,1,DEMINDELCB02,1,INDELCB02,2041,194.5125179458252
REGION1,1,DEMINDELCB02,1,INDELCB02,2042,196.0265237637013
REGION1,1,DEMINDELCB02,1,INDELCB02,2043,197.47848016281205
REGION1,1,DEMINDELCB02,1,INDELCB02,2044,198.90561679441657
REGION1,1,DEMINDELCB02,1,INDELCB02,2045,200.3699830772804
REGION1,1,DEMINDELCB02,1,INDELCB02,2046,201.83434936014424
REGION1,1,DEMINDELCB02,1,INDELCB02,2047,203.10015750295867
REGION1,1,DEMINDELCB02,1,INDELCB02,2048,204.29150634325472
REGION1,1,DEMINDELCB02,1,INDELCB02,2049,205.54490460231605
REGION1,1,DEMINDELCB02,1,INDELCB02,2050,206.7734830938713
REGION1,1,DEMINDHDG,1,INDHDG,2026,0.2212120206612027
REGION1,1,DEMINDHDG,1,INDHDG,2029,0.2212120206612027
REGION1,1,DEMINDNGS,1,INDNGS,2021,218.3701310220786
REGION1,1,DEMINDNGS,1,INDNGS,2022,229.17013750208253
REGION1,1,DEMINDNGS,1,INDNGS,2023,236.88014212808528
REGION1,1,DEMINDNGS,1,INDNGS,2024,230.18013810808293
REGION1,1,DEMINDNGS,1,INDNGS,2025,252.0301512180908
REGION1,1,DEMINDNGS,1,INDNGS,2026,276.3796695271297
REGION1,1,DEMINDNGS,1,INDNGS,2027,267.26016035609626
REGION1,1,DEMINDNGS,1,INDNGS,2028,258.5801551480932
REGION1,1,DEMINDNGS,1,INDNGS,2029,276.8001660800997
REGION1,1,DEMINDNGS,1,INDNGS,2030,297.3601784161071
REGION1,1,DEMINDNGS,1,INDNGS,2031,296.17017770210674
REGION1,1,DEMINDNGS,1,INDNGS,2032,293.1801759081056
REGION1,1,DEMINDNGS,1,INDNGS,2033,297.92017875210735
REGION1,1,DEMINDNGS,1,INDNGS,2034,302.9401817641092
REGION1,1,DEMINDNGS,1,INDNGS,2035,304.74018284410965
REGION1,1,DEMINDNGS,1,INDNGS,2036,305.11018306610987
REGION1,1,DEMINDNGS,1,INDNGS,2037,304.1001824601095
REGION1,1,DEMINDNGS,1,INDNGS,2038,303.6301821781094
REGION1,1,DEMINDNGS,1,INDNGS,2039,304.1501824901096
REGION1,1,DEMINDNGS,1,INDNGS,2040,305.42018325211
REGION1,1,DEMINDNGS,1,INDNGS,2041,307.21018432611066
REGION1,1,DEMINDNGS,1,INDNGS,2042,309.05018543011136
REGION1,1,DEMINDNGS,1,INDNGS,2043,311.07018664211205
REGION1,1,DEMINDNGS,1,INDNGS,2044,313.640188184113
REGION1,1,DEMINDNGS,1,INDNGS,2045,316.6601899961141
REGION1,1,DEMINDNGS,1,INDNGS,2046,320.0101920061153
REGION1,1,DEMINDNGS,1,INDNGS,2047,323.6001941601166
REGION1,1,DEMINDNGS,1,INDNGS,2048,327.40019644011795
REGION1,1,DEMINDNGS,1,INDNGS,2049,331.4201988521194
REGION1,1,DEMINDNGS,1,INDNGS,2050,335.60020136012093
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2021,0.8600005160003098
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2022,0.8600005160003098
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2023,0.8700005220003134
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2024,0.880000528000317
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2025,0.8900005340003206
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2026,0.9000005400003241
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2027,0.9100005460003279
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2028,0.9200005520003312
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2029,0.9300005580003352
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2030,0.9400005640003386
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2031,0.9500005700003422
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2032,0.9600005760003457
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2033,0.980000588000353
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2046,1.1200006720004034
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2047,1.1400006840004109
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2048,1.1500006900004145
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2049,1.1600006960004177
REGION1,1,DEMPUBGWTBC1,1,PUBWATBC1,2050,1.1700007020004215
REGION1,1,DEMPUBSURBC1,1,PUBWATBC1,2034,0.9900005940003567
REGION1,1,DEMPUBSURBC1,1,PUBWATBC1,2035,1.0000006000003605
REGION1,1,DEMPUBSURBC1,1,PUBWATBC1,2036,1.010000606000364
REGION1,1,DEMPUBSURBC1,1,PUBWATBC1,2037,1.0200006120003675
REGION1,1,DEMPUBSURBC1,1,PUBWATBC1,2038,1.0300006180003711
REGION1,1,DEMPUBSURBC1,1,PUBWATBC1,2039,1.0400006240003747
REGION1,1,DEMPUBSURBC1,1,PUBWATBC1,2040,1.050000630000378
REGION1,1,DEMPUBSURBC1,1,PUBWATBC1,2041,1.060000636000382
REGION1,1,DEMPUBSURBC1,1,PUBWATBC1,2042,1.0800006480003892
REGION1,1,DEMPUBSURBC1,1,PUBWATBC1,2043,1.0900006540003926
REGION1,1,DEMPUBSURBC1,1,PUBWATBC1,2044,1.1000006600003964
REGION1,1,DEMPUBSURBC1,1,PUBWATBC1,2045,1.1100006660004
REGION1,1,DEMPWRBIO,1,PWRBIO,2031,52.284499587173194
REGION1,1,DEMPWRBIO,1,PWRBIO,2032,56.70747329115103
REGION1,1,DEMPWRBIO,1,PWRBIO,2033,67.70640599239917
REGION1,1,DEMPWRBIO,1,PWRBIO,2034,70.62862507575885
REGION1,1,DEMPWRBIO,1,PWRBIO,2035,70.62862507575885
REGION1,1,DEMPWRBIO,1,PWRBIO,2036,71.99112267641239
REGION1,1,DEMPWRBIO,1,PWRBIO,2037,71.99112267641239
REGION1,1,DEMPWRBIO,1,PWRBIO,2038,71.99112267641239
REGION1,1,DEMPWRBIO,1,PWRBIO,2039,70.78390103077002
REGION1,1,DEMPWRBIO,1,PWRBIO,2040,62.894137489897766
REGION1,1,DEMPWRBIO,1,PWRBIO,2041,54.46814919705566
REGION1,1,DEMPWRBIO,1,PWRBIO,2042,43.323197112415016
REGION1,1,DEMPWRBIO,1,PWRBIO,2043,24.841151572052677
REGION1,1,DEMPWRBIO,1,PWRBIO,2044,19.64017393255371
REGION1,1,DEMPWRBIO,1,PWRBIO,2045,8.785944091812551
REGION1,1,DEMPWRHYD,1,PWRHYD,2021,34.77050096640329
REGION1,1,DEMPWRHYD,1,PWRHYD,2025,65.904464055456
REGION1,1,DEMPWRHYD,1,PWRHYD,2027,65.904464055456
REGION1,1,DEMPWRHYD,1,PWRHYD,2029,65.904464055456
REGION1,1,DEMPWRHYD,1,PWRHYD,2030,68.6632985870521
REGION1,1,DEMPWRHYD,1,PWRHYD,2031,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2032,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2033,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2034,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2035,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2036,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2037,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2038,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2039,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2040,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2041,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2042,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2043,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2044,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2045,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2046,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2047,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2048,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2049,76.657199083632
REGION1,1,DEMPWRHYD,1,PWRHYD,2050,76.657199083632
REGION1,1,DEMPWRSOL,1,PWRSOL,2024,11.177354009106832
REGION1,1,DEMPWRSOL,1,PWRSOL,2031,15.28060277424044
REGION1,1,DEMPWRSOL,1,PWRSOL,2032,15.28060277424044
REGION1,1,DEMPWRSOL,1,PWRSOL,2033,15.28060277424044
REGION1,1,DEMPWRSOL,1,PWRSOL,2034,15.28060277424044
REGION1,1,DEMPWRSOL,1,PWRSOL,2035,15.28060277424044
REGION1,1,DEMPWRSOL,1,PWRSOL,2036,22.627997699635664
REGION1,1,DEMPWRSOL,1,PWRSOL,2037,22.627997699635664
REGION1,1,DEMPWRSOL,1,PWRSOL,2038,22.627997699635664
REGION1,1,DEMPWRSOL,1,PWRSOL,2039,22.730989664556684
REGION1,1,DEMPWRSOL,1,PWRSOL,2040,24.445368775363047
REGION1,1,DEMPWRSOL,1,PWRSOL,2041,26.13700288519705
REGION1,1,DEMPWRSOL,1,PWRSOL,2042,27.081487905764284
REGION1,1,DEMPWRSOL,1,PWRSOL,2043,28.647758898204906
REGION1,1,DEMPWRSOL,1,PWRSOL,2044,29.088518574469543
REGION1,1,DEMPWRSOL,1,PWRSOL,2045,30.142548435480325
REGION1,1,DEMPWRSOL,1,PWRSOL,2046,21.096965439608645
REGION1,1,DEMPWRSOL,1,PWRSOL,2047,21.09696543960863
REGION1,1,DEMPWRSOL,1,PWRSOL,2048,17.38088522302566
REGION1,1,DEMPWRSOL,1,PWRSOL,2049,17.380885223040195
REGION1,1,DEMPWRSOL,1,PWRSOL,2050,17.38088522302566
REGION1,1,DEMPWRWND,1,PWRWND,2030,54.19845134305026
REGION1,1,DEMPWRWND,1,PWRWND,2031,57.59725892139013
REGION1,1,DEMPWRWND,1,PWRWND,2032,61.09142014019034
REGION1,1,DEMPWRWND,1,PWRWND,2033,61.09142014019034
REGION1,1,DEMPWRWND,1,PWRWND,2034,61.09142014019034
REGION1,1,DEMPWRWND,1,PWRWND,2035,61.09142014019034
REGION1,1,DEMPWRWND,1,PWRWND,2036,66.3840574064908
REGION1,1,DEMPWRWND,1,PWRWND,2037,103.52228781368818
REGION1,1,DEMPWRWND,1,PWRWND,2038,103.52228781368818
REGION1,1,DEMPWRWND,1,PWRWND,2039,66.4422360408767
REGION1,1,DEMPWRWND,1,PWRWND,2040,67.2250390930445
