r,t,l,y,RateOfTotalActivity
REGION1,DEMAGRDSL,SEA1D,2020,15.0303
REGION1,DEMAGRDSL,SEA1D,2021,15.7758
REGION1,DEMAGRDSL,SEA1D,2022,16.4313
REGION1,DEMAGRDSL,SEA1D,2023,16.8202
REGION1,DEMAGRDSL,SEA1D,2024,17.7717
REGION1,DEMAGRDSL,SEA1D,2025,18.3242
REGION1,DEMAGRDSL,SEA1D,2026,18.9556
REGION1,DEMAGRDSL,SEA1D,2027,19.6263
REGION1,DEMAGRDSL,SEA1D,2028,20.3384
REGION1,DEMAGRDSL,SEA1D,2029,20.9333
REGION1,DEMAGRDSL,SEA1D,2030,21.6162
REGION1,DEMAGRDSL,SEA1D,2031,22.2828
REGION1,DEMAGRDSL,SEA1D,2032,22.9364
REGION1,DEMAGRDSL,SEA1D,2033,23.5848
REGION1,DEMAGRDSL,SEA1D,2034,24.2576
REGION1,DEMAGRDSL,SEA1D,2035,24.9111
REGION1,DEMAGRDSL,SEA1D,2036,25.5687
REGION1,DEMAGRDSL,SEA1D,2037,26.2283
REGION1,DEMAGRDSL,SEA1D,2038,26.8899
REGION1,DEMAGRDSL,SEA1D,2039,27.5455
REGION1,DEMAGRDSL,SEA1D,2040,28.2061
REGION1,DEMAGRDSL,SEA1D,2041,28.8646
REGION1,DEMAGRDSL,SEA1D,2042,29.5232
REGION1,DEMAGRDSL,SEA1D,2043,30.1818
REGION1,DEMAGRDSL,SEA1D,2044,30.8414
REGION1,DEMAGRDSL,SEA1D,2045,31.5
REGION1,DEMAGRDSL,SEA1D,2046,32.1586
REGION1,DEMAGRDSL,SEA1D,2047,32.8182
REGION1,DEMAGRDSL,SEA1D,2048,33.4768
REGION1,DEMAGRDSL,SEA1D,2049,34.1354
REGION1,DEMAGRDSL,SEA1D,2050,34.7949
REGION1,DEMAGRDSL,SEA1N,2020,15.0303
REGION1,DEMAGRDSL,SEA1N,2021,15.7758
REGION1,DEMAGRDSL,SEA1N,2022,16.4313
REGION1,DEMAGRDSL,SEA1N,2023,16.8202
REGION1,DEMAGRDSL,SEA1N,2024,17.7717
REGION1,DEMAGRDSL,SEA1N,2025,18.3242
REGION1,DEMAGRDSL,SEA1N,2026,18.9556
REGION1,DEMAGRDSL,SEA1N,2027,19.6263
REGION1,DEMAGRDSL,SEA1N,2028,20.3384
REGION1,DEMAGRDSL,SEA1N,2029,20.9333
REGION1,DEMAGRDSL,SEA1N,2030,21.6162
REGION1,DEMAGRDSL,SEA1N,2031,22.2828
REGION1,DEMAGRDSL,SEA1N,2032,22.9364
REGION1,DEMAGRDSL,SEA1N,2033,23.5848
REGION1,DEMAGRDSL,SEA1N,2034,24.2576
REGION1,DEMAGRDSL,SEA1N,2035,24.9111
REGION1,DEMAGRDSL,SEA1N,2036,25.5687
REGION1,DEMAGRDSL,SEA1N,2037,26.2283
REGION1,DEMAGRDSL,SEA1N,2038,26.8899
REGION1,DEMAGRDSL,SEA1N,2039,27.5455
REGION1,DEMAGRDSL,SEA1N,2040,28.2061
REGION1,DEMAGRDSL,SEA1N,2041,28.8646
REGION1,DEMAGRDSL,SEA1N,2042,29.5232
REGION1,DEMAGRDSL,SEA1N,2043,30.1818
REGION1,DEMAGRDSL,SEA1N,2044,30.8414
REGION1,DEMAGRDSL,SEA1N,2045,31.5
REGION1,DEMAGRDSL,SEA1N,2046,32.1586
REGION1,DEMAGRDSL,SEA1N,2047,32.8182
REGION1,DEMAGRDSL,SEA1N,2048,33.4768
REGION1,DEMAGRDSL,SEA1N,2049,34.1354
REGION1,DEMAGRDSL,SEA1N,2050,34.7949
REGION1,DEMAGRDSL,SEA2D,2020,15.0303
REGION1,DEMAGRDSL,SEA2D,2021,15.7758
REGION1,DEMAGRDSL,SEA2D,2022,16.4313
REGION1,DEMAGRDSL,SEA2D,2023,16.8202
REGION1,DEMAGRDSL,SEA2D,2024,17.7717
REGION1,DEMAGRDSL,SEA2D,2025,18.3242
REGION1,DEMAGRDSL,SEA2D,2026,18.9556
REGION1,DEMAGRDSL,SEA2D,2027,19.6263
REGION1,DEMAGRDSL,SEA2D,2028,20.3384
REGION1,DEMAGRDSL,SEA2D,2029,20.9333
REGION1,DEMAGRDSL,SEA2D,2030,21.6162
REGION1,DEMAGRDSL,SEA2D,2031,22.2828
REGION1,DEMAGRDSL,SEA2D,2032,22.9364
REGION1,DEMAGRDSL,SEA2D,2033,23.5848
REGION1,DEMAGRDSL,SEA2D,2034,24.2576
REGION1,DEMAGRDSL,SEA2D,2035,24.9111
REGION1,DEMAGRDSL,SEA2D,2036,25.5687
REGION1,DEMAGRDSL,SEA2D,2037,26.2283
REGION1,DEMAGRDSL,SEA2D,2038,26.8899
REGION1,DEMAGRDSL,SEA2D,2039,27.5455
REGION1,DEMAGRDSL,SEA2D,2040,28.2061
REGION1,DEMAGRDSL,SEA2D,2041,28.8646
REGION1,DEMAGRDSL,SEA2D,2042,29.5232
REGION1,DEMAGRDSL,SEA2D,2043,30.1818
REGION1,DEMAGRDSL,SEA2D,2044,30.8414
REGION1,DEMAGRDSL,SEA2D,2045,31.5
REGION1,DEMAGRDSL,SEA2D,2046,32.1586
REGION1,DEMAGRDSL,SEA2D,2047,32.8182
REGION1,DEMAGRDSL,SEA2D,2048,33.4768
REGION1,DEMAGRDSL,SEA2D,2049,34.1354
REGION1,DEMAGRDSL,SEA2D,2050,34.7949
REGION1,DEMAGRDSL,SEA2N,2020,15.0303
REGION1,DEMAGRDSL,SEA2N,2021,15.7758
REGION1,DEMAGRDSL,SEA2N,2022,16.4313
REGION1,DEMAGRDSL,SEA2N,2023,16.8202
REGION1,DEMAGRDSL,SEA2N,2024,17.7717
REGION1,DEMAGRDSL,SEA2N,2025,18.3242
REGION1,DEMAGRDSL,SEA2N,2026,18.9556
REGION1,DEMAGRDSL,SEA2N,2027,19.6263
REGION1,DEMAGRDSL,SEA2N,2028,20.3384
REGION1,DEMAGRDSL,SEA2N,2029,20.9333
REGION1,DEMAGRDSL,SEA2N,2030,21.6162
REGION1,DEMAGRDSL,SEA2N,2031,22.2828
REGION1,DEMAGRDSL,SEA2N,2032,22.9364
REGION1,DEMAGRDSL,SEA2N,2033,23.5848
REGION1,DEMAGRDSL,SEA2N,2034,24.2576
REGION1,DEMAGRDSL,SEA2N,2035,24.9111
REGION1,DEMAGRDSL,SEA2N,2036,25.5687
REGION1,DEMAGRDSL,SEA2N,2037,26.2283
REGION1,DEMAGRDSL,SEA2N,2038,26.8899
REGION1,DEMAGRDSL,SEA2N,2039,27.5455
REGION1,DEMAGRDSL,SEA2N,2040,28.2061
REGION1,DEMAGRDSL,SEA2N,2041,28.8646
REGION1,DEMAGRDSL,SEA2N,2042,29.5232
REGION1,DEMAGRDSL,SEA2N,2043,30.1818
REGION1,DEMAGRDSL,SEA2N,2044,30.8414
REGION1,DEMAGRDSL,SEA2N,2045,31.5
REGION1,DEMAGRDSL,SEA2N,2046,32.1586
REGION1,DEMAGRDSL,SEA2N,2047,32.8182
REGION1,DEMAGRDSL,SEA2N,2048,33.4768
REGION1,DEMAGRDSL,SEA2N,2049,34.1354
REGION1,DEMAGRDSL,SEA2N,2050,34.7949
REGION1,DEMAGRDSL,SEA3D,2020,15.0303
REGION1,DEMAGRDSL,SEA3D,2021,15.7758
REGION1,DEMAGRDSL,SEA3D,2022,16.4313
REGION1,DEMAGRDSL,SEA3D,2023,16.8202
REGION1,DEMAGRDSL,SEA3D,2024,17.7717
REGION1,DEMAGRDSL,SEA3D,2025,18.3242
REGION1,DEMAGRDSL,SEA3D,2026,18.9556
REGION1,DEMAGRDSL,SEA3D,2027,19.6263
REGION1,DEMAGRDSL,SEA3D,2028,20.3384
REGION1,DEMAGRDSL,SEA3D,2029,20.9333
REGION1,DEMAGRDSL,SEA3D,2030,21.6162
REGION1,DEMAGRDSL,SEA3D,2031,22.2828
REGION1,DEMAGRDSL,SEA3D,2032,22.9364
REGION1,DEMAGRDSL,SEA3D,2033,23.5848
REGION1,DEMAGRDSL,SEA3D,2034,24.2576
REGION1,DEMAGRDSL,SEA3D,2035,24.9111
REGION1,DEMAGRDSL,SEA3D,2036,25.5687
REGION1,DEMAGRDSL,SEA3D,2037,26.2283
REGION1,DEMAGRDSL,SEA3D,2038,26.8899
REGION1,DEMAGRDSL,SEA3D,2039,27.5455
REGION1,DEMAGRDSL,SEA3D,2040,28.2061
REGION1,DEMAGRDSL,SEA3D,2041,28.8646
REGION1,DEMAGRDSL,SEA3D,2042,29.5232
REGION1,DEMAGRDSL,SEA3D,2043,30.1818
REGION1,DEMAGRDSL,SEA3D,2044,30.8414
REGION1,DEMAGRDSL,SEA3D,2045,31.5
REGION1,DEMAGRDSL,SEA3D,2046,32.1586
REGION1,DEMAGRDSL,SEA3D,2047,32.8182
REGION1,DEMAGRDSL,SEA3D,2048,33.4768
REGION1,DEMAGRDSL,SEA3D,2049,34.1354
REGION1,DEMAGRDSL,SEA3D,2050,34.7949
REGION1,DEMAGRDSL,SEA3N,2020,15.0303
REGION1,DEMAGRDSL,SEA3N,2021,15.7758
REGION1,DEMAGRDSL,SEA3N,2022,16.4313
REGION1,DEMAGRDSL,SEA3N,2023,16.8202
REGION1,DEMAGRDSL,SEA3N,2024,17.7717
REGION1,DEMAGRDSL,SEA3N,2025,18.3242
REGION1,DEMAGRDSL,SEA3N,2026,18.9556
REGION1,DEMAGRDSL,SEA3N,2027,19.6263
REGION1,DEMAGRDSL,SEA3N,2028,20.3384
REGION1,DEMAGRDSL,SEA3N,2029,20.9333
REGION1,DEMAGRDSL,SEA3N,2030,21.6162
REGION1,DEMAGRDSL,SEA3N,2031,22.2828
REGION1,DEMAGRDSL,SEA3N,2032,22.9364
REGION1,DEMAGRDSL,SEA3N,2033,23.5848
REGION1,DEMAGRDSL,SEA3N,2034,24.2576
REGION1,DEMAGRDSL,SEA3N,2035,24.9111
REGION1,DEMAGRDSL,SEA3N,2036,25.5687
REGION1,DEMAGRDSL,SEA3N,2037,26.2283
REGION1,DEMAGRDSL,SEA3N,2038,26.8899
REGION1,DEMAGRDSL,SEA3N,2039,27.5455
REGION1,DEMAGRDSL,SEA3N,2040,28.2061
REGION1,DEMAGRDSL,SEA3N,2041,28.8646
REGION1,DEMAGRDSL,SEA3N,2042,29.5232
REGION1,DEMAGRDSL,SEA3N,2043,30.1818
REGION1,DEMAGRDSL,SEA3N,2044,30.8414
REGION1,DEMAGRDSL,SEA3N,2045,31.5
REGION1,DEMAGRDSL,SEA3N,2046,32.1586
REGION1,DEMAGRDSL,SEA3N,2047,32.8182
REGION1,DEMAGRDSL,SEA3N,2048,33.4768
REGION1,DEMAGRDSL,SEA3N,2049,34.1354
REGION1,DEMAGRDSL,SEA3N,2050,34.7949
REGION1,DEMAGRDSL,SEA4D,2020,15.0303
REGION1,DEMAGRDSL,SEA4D,2021,15.7758
REGION1,DEMAGRDSL,SEA4D,2022,16.4313
REGION1,DEMAGRDSL,SEA4D,2023,16.8202
REGION1,DEMAGRDSL,SEA4D,2024,17.7717
REGION1,DEMAGRDSL,SEA4D,2025,18.3242
REGION1,DEMAGRDSL,SEA4D,2026,18.9556
REGION1,DEMAGRDSL,SEA4D,2027,19.6263
REGION1,DEMAGRDSL,SEA4D,2028,20.3384
REGION1,DEMAGRDSL,SEA4D,2029,20.9333
REGION1,DEMAGRDSL,SEA4D,2030,21.6162
REGION1,DEMAGRDSL,SEA4D,2031,22.2828
REGION1,DEMAGRDSL,SEA4D,2032,22.9364
REGION1,DEMAGRDSL,SEA4D,2033,23.5848
REGION1,DEMAGRDSL,SEA4D,2034,24.2576
REGION1,DEMAGRDSL,SEA4D,2035,24.9111
REGION1,DEMAGRDSL,SEA4D,2036,25.5687
REGION1,DEMAGRDSL,SEA4D,2037,26.2283
REGION1,DEMAGRDSL,SEA4D,2038,26.8899
REGION1,DEMAGRDSL,SEA4D,2039,27.5455
REGION1,DEMAGRDSL,SEA4D,2040,28.2061
REGION1,DEMAGRDSL,SEA4D,2041,28.8646
REGION1,DEMAGRDSL,SEA4D,2042,29.5232
REGION1,DEMAGRDSL,SEA4D,2043,30.1818
REGION1,DEMAGRDSL,SEA4D,2044,30.8414
REGION1,DEMAGRDSL,SEA4D,2045,31.5
REGION1,DEMAGRDSL,SEA4D,2046,32.1586
REGION1,DEMAGRDSL,SEA4D,2047,32.8182
REGION1,DEMAGRDSL,SEA4D,2048,33.4768
