REGION,TECHNOLOGY,VALUE
REGION1,LNDAGRBC1C01,15
REGION1,LNDAGRBC1C02,15
REGION1,LNDAGRBC1C03,15
REGION1,LNDAGRBC1C04,15
REGION1,LNDAGRBC1C05,15
REGION1,LNDAGRBC1C06,15
REGION1,LNDAGRBC1C07,15
REGION1,LNDALFHIBC1,15
REGION1,LNDALFHRBC1,15
REGION1,LNDALFIIBC1,15
REGION1,LNDALFIRBC1,15
REGION1,LNDALFLRBC1,15
REGION1,LNDBARHIBC1,15
REGION1,LNDBARHRBC1,15
REGION1,LNDBARIIBC1,15
REGION1,LNDBARIRBC1,15
REGION1,LNDBARLRBC1,15
REGION1,LNDMAIHIBC1,15
REGION1,LNDMAIHRBC1,15
REGION1,LNDMAIIIBC1,15
REGION1,LNDMAIIRBC1,15
REGION1,LNDMAILRBC1,15
REGION1,LNDOATHIBC1,15
REGION1,LNDOATHRBC1,15
REGION1,LNDOATIIBC1,15
REGION1,LNDOATIRBC1,15
REGION1,LNDOATLRBC1,15
REGION1,LNDOTHHIBC1,15
REGION1,LNDOTHHRBC1,15
REGION1,LNDOTHIIBC1,15
REGION1,LNDOTHIRBC1,15
REGION1,LNDOTHLRBC1,15
REGION1,LNDPEAHIBC1,15
REGION1,LNDPEAHRBC1,15
REGION1,LNDPEAIIBC1,15
REGION1,LNDPEAIRBC1,15
REGION1,LNDPEALRBC1,15
REGION1,LNDPTWHIBC1,15
REGION1,LNDPTWHRBC1,15
REGION1,LNDPTWIIBC1,15
REGION1,LNDPTWIRBC1,15
REGION1,LNDPTWLRBC1,15
REGION1,LNDRAPHIBC1,15
REGION1,LNDRAPHRBC1,15
REGION1,LNDRAPIIBC1,15
REGION1,LNDRAPIRBC1,15
REGION1,LNDRAPLRBC1,15
REGION1,LNDRYEHIBC1,15
REGION1,LNDRYEHRBC1,15
REGION1,LNDRYEIIBC1,15
REGION1,LNDRYEIRBC1,15
REGION1,LNDRYELRBC1,15
REGION1,LNDWHEHIBC1,15
REGION1,LNDWHEHRBC1,15
REGION1,LNDWHEIIBC1,15
REGION1,LNDWHEIRBC1,15
REGION1,LNDWHELRBC1,15
REGION1,MINCOA,100
REGION1,MINCRU,64
REGION1,MINNGS,150
REGION1,MINURN,90
REGION1,CCS01,25
REGION1,INFLOW01,99
REGION1,PWRBCWB01,15
REGION1,PWRBIOB01,8
REGION1,PWRBIOB02,30
REGION1,PWRBSWB01,15
REGION1,PWRHYDB01,100
REGION1,PWRHYDB02,100
REGION1,PWRNGSB01,21
REGION1,PWRNGSB02,37
REGION1,PWRSOLB01,30
REGION1,PWRSOLB02,20
REGION1,PWRSOLB03,20
REGION1,PWRSOLB04,20
REGION1,PWRSOLB05,20
REGION1,PWRSOLB06,20
REGION1,PWRSOLB07,20
REGION1,PWRSOLB08,20
REGION1,PWRSOLB09,20
REGION1,PWRSOLB10,20
REGION1,PWRWNDB01,25
REGION1,PWRWNDB02,20
REGION1,PWRWNDB03,25
REGION1,PWRWNDB04,25
REGION1,PWRWNDB05,40
REGION1,PWRWNDB06,40
REGION1,PWRWNDB07,25
REGION1,PWRWNDB08,40
REGION1,PWRWNDB09,40
REGION1,PWRWNDB10,40
REGION1,PWRWNDB11,20
REGION1,PWRWNDB12,20
REGION1,PWRWNDB13,20
REGION1,PWRWNDB14,20
REGION1,PWRWNDB15,20
REGION1,PWRWNDB16,20
REGION1,PWRWNDB17,20
REGION1,PWRWNDB18,20
REGION1,PWRWNDB19,20
REGION1,PWRWNDB20,20
REGION1,PWRWNDB21,20
REGION1,PWRWNDB22,20
REGION1,PWRWNDB23,20
REGION1,PWRWNDB24,20
REGION1,PWRWNDB25,20
REGION1,PWRWNDB26,20
REGION1,PWRWNDB27,20
REGION1,BATTERY_STORAGE,25
REGION1,LNDLVSBEFNBC1,15
REGION1,LNDLVSBEFCBC1,15
REGION1,LNDLVSMILBC1,15
REGION1,LNDLVSPIGBC1,15
REGION1,LNDLVSSHPBC1,15
REGION1,LVSHRDBEFNBC1,5
REGION1,LVSHRDBEFCBC1,5
REGION1,LVSHRDMILBC1,5
REGION1,LVSHRDPIGBC1,5
REGION1,LVSHRDSHPBC1,5
REGION1,LVSBEFNBC1,15
REGION1,LVSBEFCBC1,15
REGION1,LVSMILBC1,15
REGION1,LVSPIGBC1,15
REGION1,LVSSHPBC1,15
REGION1,LNDAGVMAIHIBC1,25.0
REGION1,LNDAGVMAIHRBC1,25.0
REGION1,LNDAGVMAIIIBC1,25.0
REGION1,LNDAGVMAIIRBC1,25.0
REGION1,LNDAGVMAILRBC1,25.0
REGION1,LNDAGVPTWHIBC1,25.0
REGION1,LNDAGVPTWHRBC1,25.0
REGION1,LNDAGVPTWIIBC1,25.0
REGION1,LNDAGVPTWIRBC1,25.0
REGION1,LNDAGVPTWLRBC1,25.0
REGION1,LNDAGVWHEHIBC1,25.0
REGION1,LNDAGVWHEHRBC1,25.0
REGION1,LNDAGVWHEIIBC1,25.0
REGION1,LNDAGVWHEIRBC1,25.0
REGION1,LNDAGVWHELRBC1,25.0
REGION1,LNDBARBC1,15.0
REGION1,LNDBLTBC1,15.0
REGION1,LNDFORBC1,15.0
REGION1,LNDGRSBC1,15.0
REGION1,LNDOTHBC1,15.0
REGION1,LNDWATBC1,15.0
REGION1,MINLNDBC1,15.0
REGION1,MINPRCBC1,15.0
