REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,INFLOW01,1,2021,0.1767636314072336
REGION1,INFLOW01,2,2021,0.1872446500246905
REGION1,INFLOW01,3,2021,0.1954200008100809
REGION1,INFLOW01,4,2021,0.162647775678273
REGION1,INFLOW01,1,2022,0.1767636314072336
REGION1,INFLOW01,2,2022,0.1872446500246905
REGION1,INFLOW01,3,2022,0.1954200008100809
REGION1,INFLOW01,4,2022,0.162647775678273
REGION1,INFLOW01,1,2023,0.1767636314072336
REGION1,INFLOW01,2,2023,0.1872446500246905
REGION1,INFLOW01,3,2023,0.1954200008100809
REGION1,INFLOW01,4,2023,0.162647775678273
REGION1,INFLOW01,1,2024,0.1767636314072336
REGION1,INFLOW01,2,2024,0.1872446500246905
REGION1,INFLOW01,3,2024,0.1954200008100809
REGION1,INFLOW01,4,2024,0.162647775678273
REGION1,INFLOW01,1,2025,0.1767636314072336
REGION1,INFLOW01,2,2025,0.1872446500246905
REGION1,INFLOW01,3,2025,0.1954200008100809
REGION1,INFLOW01,4,2025,0.162647775678273
REGION1,INFLOW01,1,2026,0.1767636314072336
REGION1,INFLOW01,2,2026,0.1872446500246905
REGION1,INFLOW01,3,2026,0.1954200008100809
REGION1,INFLOW01,4,2026,0.162647775678273
REGION1,INFLOW01,1,2027,0.1767636314072336
REGION1,INFLOW01,2,2027,0.1872446500246905
REGION1,INFLOW01,3,2027,0.1954200008100809
REGION1,INFLOW01,4,2027,0.162647775678273
REGION1,INFLOW01,1,2028,0.1767636314072336
REGION1,INFLOW01,2,2028,0.1872446500246905
REGION1,INFLOW01,3,2028,0.1954200008100809
REGION1,INFLOW01,4,2028,0.162647775678273
REGION1,INFLOW01,1,2029,0.1767636314072336
REGION1,INFLOW01,2,2029,0.1872446500246905
REGION1,INFLOW01,3,2029,0.1954200008100809
REGION1,INFLOW01,4,2029,0.162647775678273
REGION1,INFLOW01,1,2030,0.1767636314072336
REGION1,INFLOW01,2,2030,0.1872446500246905
REGION1,INFLOW01,3,2030,0.1954200008100809
REGION1,INFLOW01,4,2030,0.162647775678273
REGION1,INFLOW01,1,2031,0.1767636314072336
REGION1,INFLOW01,2,2031,0.1872446500246905
REGION1,INFLOW01,3,2031,0.1954200008100809
REGION1,INFLOW01,4,2031,0.162647775678273
REGION1,INFLOW01,1,2032,0.1767636314072336
REGION1,INFLOW01,2,2032,0.1872446500246905
REGION1,INFLOW01,3,2032,0.1954200008100809
REGION1,INFLOW01,4,2032,0.162647775678273
REGION1,INFLOW01,1,2033,0.1767636314072336
REGION1,INFLOW01,2,2033,0.1872446500246905
REGION1,INFLOW01,3,2033,0.1954200008100809
REGION1,INFLOW01,4,2033,0.162647775678273
REGION1,INFLOW01,1,2034,0.1767636314072336
REGION1,INFLOW01,2,2034,0.1872446500246905
REGION1,INFLOW01,3,2034,0.1954200008100809
REGION1,INFLOW01,4,2034,0.162647775678273
REGION1,INFLOW01,1,2035,0.1767636314072336
REGION1,INFLOW01,2,2035,0.1872446500246905
REGION1,INFLOW01,3,2035,0.1954200008100809
REGION1,INFLOW01,4,2035,0.162647775678273
REGION1,INFLOW01,1,2036,0.1767636314072336
REGION1,INFLOW01,2,2036,0.1872446500246905
REGION1,INFLOW01,3,2036,0.1954200008100809
REGION1,INFLOW01,4,2036,0.162647775678273
REGION1,INFLOW01,1,2037,0.1767636314072336
REGION1,INFLOW01,2,2037,0.1872446500246905
REGION1,INFLOW01,3,2037,0.1954200008100809
REGION1,INFLOW01,4,2037,0.162647775678273
REGION1,INFLOW01,1,2038,0.1767636314072336
REGION1,INFLOW01,2,2038,0.1872446500246905
REGION1,INFLOW01,3,2038,0.1954200008100809
REGION1,INFLOW01,4,2038,0.162647775678273
REGION1,INFLOW01,1,2039,0.1767636314072336
REGION1,INFLOW01,2,2039,0.1872446500246905
REGION1,INFLOW01,3,2039,0.1954200008100809
REGION1,INFLOW01,4,2039,0.162647775678273
REGION1,INFLOW01,1,2040,0.1767636314072336
REGION1,INFLOW01,2,2040,0.1872446500246905
REGION1,INFLOW01,3,2040,0.1954200008100809
REGION1,INFLOW01,4,2040,0.162647775678273
REGION1,INFLOW01,1,2041,0.1767636314072336
REGION1,INFLOW01,2,2041,0.1872446500246905
REGION1,INFLOW01,3,2041,0.1954200008100809
REGION1,INFLOW01,4,2041,0.162647775678273
REGION1,INFLOW01,1,2042,0.1767636314072336
REGION1,INFLOW01,2,2042,0.1872446500246905
REGION1,INFLOW01,3,2042,0.1954200008100809
REGION1,INFLOW01,4,2042,0.162647775678273
REGION1,INFLOW01,1,2043,0.1767636314072336
REGION1,INFLOW01,2,2043,0.1872446500246905
REGION1,INFLOW01,3,2043,0.1954200008100809
REGION1,INFLOW01,4,2043,0.162647775678273
REGION1,INFLOW01,1,2044,0.1767636314072336
REGION1,INFLOW01,2,2044,0.1872446500246905
REGION1,INFLOW01,3,2044,0.1954200008100809
REGION1,INFLOW01,4,2044,0.162647775678273
REGION1,INFLOW01,1,2045,0.1767636314072336
REGION1,INFLOW01,2,2045,0.1872446500246905
REGION1,INFLOW01,3,2045,0.1954200008100809
REGION1,INFLOW01,4,2045,0.162647775678273
REGION1,INFLOW01,1,2046,0.1767636314072336
REGION1,INFLOW01,2,2046,0.1872446500246905
REGION1,INFLOW01,3,2046,0.1954200008100809
REGION1,INFLOW01,4,2046,0.162647775678273
REGION1,INFLOW01,1,2047,0.1767636314072336
REGION1,INFLOW01,2,2047,0.1872446500246905
REGION1,INFLOW01,3,2047,0.1954200008100809
REGION1,INFLOW01,4,2047,0.162647775678273
REGION1,INFLOW01,1,2048,0.1767636314072336
REGION1,INFLOW01,2,2048,0.1872446500246905
REGION1,INFLOW01,3,2048,0.1954200008100809
REGION1,INFLOW01,4,2048,0.162647775678273
REGION1,INFLOW01,1,2049,0.1767636314072336
REGION1,INFLOW01,2,2049,0.1872446500246905
REGION1,INFLOW01,3,2049,0.1954200008100809
REGION1,INFLOW01,4,2049,0.162647775678273
REGION1,INFLOW01,1,2050,0.1767636314072336
REGION1,INFLOW01,2,2050,0.1872446500246905
REGION1,INFLOW01,3,2050,0.1954200008100809
REGION1,INFLOW01,4,2050,0.162647775678273
REGION1,PWRHYDB02,1,2021,0.3237008587267111
REGION1,PWRHYDB02,2,2021,0.3246858054520682
REGION1,PWRHYDB02,3,2021,0.3330170454135439
REGION1,PWRHYDB02,4,2021,0.298667773707761
REGION1,PWRHYDB02,1,2022,0.3237008587267111
REGION1,PWRHYDB02,2,2022,0.3246858054520682
REGION1,PWRHYDB02,3,2022,0.3330170454135439
REGION1,PWRHYDB02,4,2022,0.298667773707761
