r,t,y,TotalCapacityAnnual
REGION1,DEMAGRDSL,2020,15.0303
REGION1,DEMAGRDSL,2021,15.7758
REGION1,DEMAGRDSL,2022,16.4313
REGION1,DEMAGRDSL,2023,16.8202
REGION1,DEMAGRDSL,2024,17.7717
REGION1,DEMAGRDSL,2025,18.3242
REGION1,DEMAGRDSL,2026,17.5909
REGION1,DEMAGRDSL,2027,16.8576
REGION1,DEMAGRDSL,2028,16.1253
REGION1,DEMAGRDSL,2029,15.3919
REGION1,DEMAGRDSL,2030,14.6596
REGION1,DEMAGRDSL,2031,13.9263
REGION1,DEMAGRDSL,2032,13.1929
REGION1,DEMAGRDSL,2033,12.4606
REGION1,DEMAGRDSL,2034,11.7273
REGION1,DEMAGRDSL,2035,10.9949
REGION1,DEMAGRDSL,2036,10.2616
REGION1,DEMAGRDSL,2037,9.5293
REGION1,DEMAGRDSL,2038,8.796
REGION1,DEMAGRDSL,2039,8.0626
REGION1,DEMAGRDSL,2040,7.3303
REGION1,DEMAGRDSL,2041,6.597
REGION1,DEMAGRDSL,2042,5.8646
REGION1,DEMAGRDSL,2043,5.1313
REGION1,DEMAGRDSL,2044,4.398
REGION1,DEMAGRDSL,2045,3.6657
REGION1,DEMAGRDSL,2046,2.9323
REGION1,DEMAGRDSL,2047,2.2
REGION1,DEMAGRDSL,2048,1.4667
REGION1,DEMAGRDSL,2049,0.7343
REGION1,DEMAGRELCB02,2026,1.9933
REGION1,DEMAGRELCB02,2027,3.9867
REGION1,DEMAGRELCB02,2028,5.9656
REGION1,DEMAGRELCB02,2029,7.9589
REGION1,DEMAGRELCB02,2030,9.9522
REGION1,DEMAGRELCB02,2031,11.9456
REGION1,DEMAGRELCB02,2032,13.9389
REGION1,DEMAGRELCB02,2033,15.9178
REGION1,DEMAGRELCB02,2034,17.9111
REGION1,DEMAGRELCB02,2035,19.9044
REGION1,DEMAGRELCB02,2036,21.8978
REGION1,DEMAGRELCB02,2037,23.8767
REGION1,DEMAGRELCB02,2038,25.87
REGION1,DEMAGRELCB02,2039,27.8633
REGION1,DEMAGRELCB02,2040,29.8567
REGION1,DEMAGRELCB02,2041,31.85
REGION1,DEMAGRELCB02,2042,33.8289
REGION1,DEMAGRELCB02,2043,35.8222
REGION1,DEMAGRELCB02,2044,37.8156
REGION1,DEMAGRELCB02,2045,39.8089
REGION1,DEMAGRELCB02,2046,41.8022
REGION1,DEMAGRELCB02,2047,43.7811
REGION1,DEMAGRELCB02,2048,45.7744
REGION1,DEMAGRELCB02,2049,47.7678
REGION1,DEMAGRELCB02,2050,49.7568
REGION1,DEMAGRSURBC1,2020,0.36
REGION1,DEMAGRSURBC1,2021,0.4289
REGION1,DEMAGRSURBC1,2022,0.4272
REGION1,DEMAGRSURBC1,2023,0.4262
REGION1,DEMAGRSURBC1,2024,0.428
REGION1,DEMAGRSURBC1,2025,0.4536
REGION1,DEMAGRSURBC1,2026,0.4874
REGION1,DEMAGRSURBC1,2027,0.5723
REGION1,DEMAGRSURBC1,2028,0.6101
REGION1,DEMAGRSURBC1,2029,0.6421
REGION1,DEMAGRSURBC1,2030,0.6787
REGION1,DEMAGRSURBC1,2031,0.7145
REGION1,DEMAGRSURBC1,2032,0.7415
REGION1,DEMAGRSURBC1,2033,0.7758
REGION1,DEMAGRSURBC1,2034,0.8091
REGION1,DEMAGRSURBC1,2035,1.7229
REGION1,DEMAGRSURBC1,2036,1.8128
REGION1,DEMAGRSURBC1,2037,1.8505
REGION1,DEMAGRSURBC1,2038,1.8873
REGION1,DEMAGRSURBC1,2039,1.9234
REGION1,DEMAGRSURBC1,2040,1.9308
REGION1,DEMAGRSURBC1,2041,1.94
REGION1,DEMAGRSURBC1,2042,1.9481
REGION1,DEMAGRSURBC1,2043,1.9574
REGION1,DEMAGRSURBC1,2044,1.9656
REGION1,DEMAGRSURBC1,2045,1.9743
REGION1,DEMAGRSURBC1,2046,1.9824
REGION1,DEMAGRSURBC1,2047,1.9906
REGION1,DEMAGRSURBC1,2048,1.9994
REGION1,DEMAGRSURBC1,2049,2.0084
REGION1,DEMAGRSURBC1,2050,2.0166
REGION1,DEMCOMELCB02,2020,82.3333
REGION1,DEMCOMELCB02,2021,84.1967
REGION1,DEMCOMELCB02,2022,85.7422
REGION1,DEMCOMELCB02,2023,87.0133
REGION1,DEMCOMELCB02,2024,88.0533
REGION1,DEMCOMELCB02,2025,89.1078
REGION1,DEMCOMELCB02,2026,92.3867
REGION1,DEMCOMELCB02,2027,95.16
REGION1,DEMCOMELCB02,2028,97.9333
REGION1,DEMCOMELCB02,2029,100.7067
REGION1,DEMCOMELCB02,2030,103.4656
REGION1,DEMCOMELCB02,2031,106.2389
REGION1,DEMCOMELCB02,2032,108.9978
REGION1,DEMCOMELCB02,2033,111.7567
REGION1,DEMCOMELCB02,2034,114.53
REGION1,DEMCOMELCB02,2035,117.2889
REGION1,DEMCOMELCB02,2036,120.0478
REGION1,DEMCOMELCB02,2037,122.7922
REGION1,DEMCOMELCB02,2038,125.5511
REGION1,DEMCOMELCB02,2039,128.2956
REGION1,DEMCOMELCB02,2040,131.0689
REGION1,DEMCOMELCB02,2041,133.6833
REGION1,DEMCOMELCB02,2042,136.4422
REGION1,DEMCOMELCB02,2043,139.1867
REGION1,DEMCOMELCB02,2044,141.9311
REGION1,DEMCOMELCB02,2045,144.6756
REGION1,DEMCOMELCB02,2046,147.4344
REGION1,DEMCOMELCB02,2047,150.1789
REGION1,DEMCOMELCB02,2048,152.9233
REGION1,DEMCOMELCB02,2049,155.6822
REGION1,DEMCOMELCB02,2050,156.6933
REGION1,DEMCOMKER,2020,10.6768
REGION1,DEMCOMKER,2021,10.9091
REGION1,DEMCOMKER,2022,11.1111
REGION1,DEMCOMKER,2023,11.2828
REGION1,DEMCOMKER,2024,11.4444
REGION1,DEMCOMKER,2025,11.596
REGION1,DEMCOMKER,2026,11.1313
REGION1,DEMCOMKER,2027,10.6667
REGION1,DEMCOMKER,2028,10.202
REGION1,DEMCOMKER,2029,9.7374
REGION1,DEMCOMKER,2030,9.2727
REGION1,DEMCOMKER,2031,8.8182
REGION1,DEMCOMKER,2032,8.3535
REGION1,DEMCOMKER,2033,7.8889
REGION1,DEMCOMKER,2034,7.4242
REGION1,DEMCOMKER,2035,6.9596
REGION1,DEMCOMKER,2036,6.4949
REGION1,DEMCOMKER,2037,6.0303
REGION1,DEMCOMKER,2038,5.5657
REGION1,DEMCOMKER,2039,5.101
REGION1,DEMCOMKER,2040,4.6364
REGION1,DEMCOMKER,2041,4.1717
REGION1,DEMCOMKER,2042,3.7071
REGION1,DEMCOMKER,2043,3.2525
REGION1,DEMCOMKER,2044,2.7879
REGION1,DEMCOMKER,2045,2.3232
REGION1,DEMCOMKER,2046,1.8586
REGION1,DEMCOMKER,2047,1.3939
REGION1,DEMCOMKER,2048,0.9293
REGION1,DEMCOMKER,2049,0.4646
REGION1,DEMCOMNGS,2020,84.899
REGION1,DEMCOMNGS,2021,84.9495
REGION1,DEMCOMNGS,2022,84.8889
REGION1,DEMCOMNGS,2023,90.8514
REGION1,DEMCOMNGS,2024,85.4848
REGION1,DEMCOMNGS,2025,86.5253
REGION1,DEMCOMNGS,2026,83.0606
REGION1,DEMCOMNGS,2027,79.6061
REGION1,DEMCOMNGS,2028,76.1414
REGION1,DEMCOMNGS,2029,72.6768
REGION1,DEMCOMNGS,2030,69.2222
REGION1,DEMCOMNGS,2031,65.7576
REGION1,DEMCOMNGS,2032,62.303
REGION1,DEMCOMNGS,2033,58.8384
REGION1,DEMCOMNGS,2034,55.3737
REGION1,DEMCOMNGS,2035,51.9192
REGION1,DEMCOMNGS,2036,48.4545
REGION1,DEMCOMNGS,2037,44.9899
REGION1,DEMCOMNGS,2038,41.5354
REGION1,DEMCOMNGS,2039,38.0707
REGION1,DEMCOMNGS,2040,34.6061
